[2026-07-10 11:52:13] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:52:13] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:52:13] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:52:57] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:52:57] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:52:57] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:53:08] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:53:08] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:53:08] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:53:28] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:53:28] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:53:28] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:54:02] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:54:02] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:54:02] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:54:07] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:54:07] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:54:07] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:54:38] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:54:38] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:54:38] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:54:55] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:54:55] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:54:55] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:55:18] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:55:18] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:55:18] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:55:45] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:55:45] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:55:45] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:55:50] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:55:50] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:55:50] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:56:30] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:56:30] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:56:30] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:56:36] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:56:36] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:56:36] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-10 11:57:04] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-10 11:57:04] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-10 11:57:05] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
