[2026-07-10 11:52:29] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:52:29] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:52:29] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:53:17] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:53:17] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:53:17] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:53:23] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:53:23] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:53:23] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:53:48] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:53:48] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:53:48] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:54:16] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:54:16] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:54:16] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:54:28] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:54:28] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:54:28] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:54:59] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:54:59] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:54:59] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:55:08] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:55:08] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:55:08] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:55:39] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:55:39] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:55:39] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:55:59] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:55:59] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:55:59] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:56:11] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:56:11] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:56:11] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:56:49] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:56:49] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:56:49] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:56:50] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:56:50] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:56:50] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:57:26] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:57:26] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:57:26] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:57:39] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:57:39] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:57:39] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:58:05] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:58:05] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:58:05] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:58:25] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:58:25] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
[2026-07-10 11:58:25] INFO     | awr_seg_logical_reads_parser | ✅ Inserted 5 rows into awr_seg_logical_reads
[2026-07-10 11:58:40] INFO     | awr_seg_logical_reads_parser | Found 5 rows in Segments by Logical Reads section
[2026-07-10 11:58:40] INFO     | awr_seg_logical_reads_parser | ✅ Parsed 5 Segments by Logical Reads records
