[2026-07-10 11:52:38] INFO     | awr_seg_row_lck_waits_parser | Found 4 rows in Segments by Row Lock Waits section
[2026-07-10 11:52:38] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 4 Segments by Row Lock Waits records
[2026-07-10 11:52:38] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 4 rows into awr_seg_row_lck_waits
[2026-07-10 11:53:28] INFO     | awr_seg_row_lck_waits_parser | Found 3 rows in Segments by Row Lock Waits section
[2026-07-10 11:53:28] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 3 Segments by Row Lock Waits records
[2026-07-10 11:53:29] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 3 rows into awr_seg_row_lck_waits
[2026-07-10 11:53:31] INFO     | awr_seg_row_lck_waits_parser | Found 4 rows in Segments by Row Lock Waits section
[2026-07-10 11:53:31] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 4 Segments by Row Lock Waits records
[2026-07-10 11:53:32] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 4 rows into awr_seg_row_lck_waits
[2026-07-10 11:54:00] INFO     | awr_seg_row_lck_waits_parser | Found 5 rows in Segments by Row Lock Waits section
[2026-07-10 11:54:00] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 5 Segments by Row Lock Waits records
[2026-07-10 11:54:00] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 5 rows into awr_seg_row_lck_waits
[2026-07-10 11:54:25] INFO     | awr_seg_row_lck_waits_parser | Found 4 rows in Segments by Row Lock Waits section
[2026-07-10 11:54:25] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 4 Segments by Row Lock Waits records
[2026-07-10 11:54:25] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 4 rows into awr_seg_row_lck_waits
[2026-07-10 11:54:39] INFO     | awr_seg_row_lck_waits_parser | Found 3 rows in Segments by Row Lock Waits section
[2026-07-10 11:54:39] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 3 Segments by Row Lock Waits records
[2026-07-10 11:54:39] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 3 rows into awr_seg_row_lck_waits
[2026-07-10 11:55:11] INFO     | awr_seg_row_lck_waits_parser | Found 5 rows in Segments by Row Lock Waits section
[2026-07-10 11:55:11] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 5 Segments by Row Lock Waits records
[2026-07-10 11:55:11] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 5 rows into awr_seg_row_lck_waits
[2026-07-10 11:55:16] INFO     | awr_seg_row_lck_waits_parser | Found 1 rows in Segments by Row Lock Waits section
[2026-07-10 11:55:16] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 1 Segments by Row Lock Waits records
[2026-07-10 11:55:17] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 1 rows into awr_seg_row_lck_waits
[2026-07-10 11:55:51] INFO     | awr_seg_row_lck_waits_parser | Found 3 rows in Segments by Row Lock Waits section
[2026-07-10 11:55:51] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 3 Segments by Row Lock Waits records
[2026-07-10 11:55:51] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 3 rows into awr_seg_row_lck_waits
[2026-07-10 11:56:07] INFO     | awr_seg_row_lck_waits_parser | Found 1 rows in Segments by Row Lock Waits section
[2026-07-10 11:56:07] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 1 Segments by Row Lock Waits records
[2026-07-10 11:56:07] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 1 rows into awr_seg_row_lck_waits
[2026-07-10 11:56:22] INFO     | awr_seg_row_lck_waits_parser | Found 5 rows in Segments by Row Lock Waits section
[2026-07-10 11:56:22] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 5 Segments by Row Lock Waits records
[2026-07-10 11:56:22] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 5 rows into awr_seg_row_lck_waits
[2026-07-10 11:56:57] INFO     | awr_seg_row_lck_waits_parser | Found 1 rows in Segments by Row Lock Waits section
[2026-07-10 11:56:57] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 1 Segments by Row Lock Waits records
[2026-07-10 11:56:57] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 1 rows into awr_seg_row_lck_waits
[2026-07-10 11:57:02] INFO     | awr_seg_row_lck_waits_parser | Found 2 rows in Segments by Row Lock Waits section
[2026-07-10 11:57:02] INFO     | awr_seg_row_lck_waits_parser | ✅ Parsed 2 Segments by Row Lock Waits records
[2026-07-10 11:57:02] INFO     | awr_seg_row_lck_waits_parser | ✅ Inserted 2 rows into awr_seg_row_lck_waits
